Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
,Iceland,2020-04-11 22:45:13,1689,8,841,64.9631,-19.0208,Apr11,2020,4,11
,India,2020-04-11 22:45:13,8446,288,969,20.593684,78.96288,Apr11,2020,4,11
,Indonesia,2020-04-11 22:45:13,3842,327,286,-0.7893,113.9213,Apr11,2020,4,11
,Iran,2020-04-11 22:45:13,70029,4357,41947,32.427908,53.68804599999999,Apr11,2020,4,11
,Iraq,2020-04-11 22:45:13,1318,72,601,33.223191,43.679291,Apr11,2020,4,11
,Ireland,2020-04-11 22:45:13,8928,320,25,53.1424,-7.6921,Apr11,2020,4,11
,Israel,2020-04-11 22:45:13,10743,101,1341,31.046051,34.851612,Apr11,2020,4,11
,Italy,2020-04-11 22:45:13,152271,19468,32534,41.87194,12.56738,Apr11,2020,4,11
,Jamaica,2020-04-11 22:45:13,65,4,13,18.1096,-77.2975,Apr11,2020,4,11
,Japan,2020-04-11 22:45:13,6005,99,762,36.204824,138.252924,Apr11,2020,4,11
,Jordan,2020-04-11 22:45:13,381,7,177,31.24,36.51,Apr11,2020,4,11
,Kazakhstan,2020-04-11 22:45:13,865,10,81,48.0196,66.9237,Apr11,2020,4,11
,Kenya,2020-04-11 22:45:13,191,7,24,-0.0236,37.9062,Apr11,2020,4,11
,"Korea, South",2020-04-11 22:45:13,10480,211,7243,35.90775700000001,127.766922,Apr11,2020,4,11
,Kosovo,2020-04-11 22:45:13,283,7,58,42.602636,20.902977,Apr11,2020,4,11
,Kuwait,2020-04-11 22:45:13,1154,1,133,29.31166,47.481766,Apr11,2020,4,11
,Kyrgyzstan,2020-04-11 22:45:13,339,5,44,41.20438,74.766098,Apr11,2020,4,11
,Laos,2020-04-11 22:45:13,18,0,0,19.85627,102.495496,Apr11,2020,4,11
,Latvia,2020-04-11 22:45:13,630,3,16,56.8796,24.6032,Apr11,2020,4,11
,Lebanon,2020-04-11 22:45:13,619,20,77,33.8547,35.8623,Apr11,2020,4,11
,Liberia,2020-04-11 22:45:13,48,5,3,6.4280550000000005,-9.429499,Apr11,2020,4,11
